Year,Category,Birth Country,Organization Name
2000,Chemistry,USA,University of California
2000,Chemistry,New Zealand,University of Pennsylvania
2000,Chemistry,Japan,University of Tsukuba
2000,Economics,USA,University of Chicago
2000,Economics,USA,University of California
2000,Literature,China,
2000,Medicine,Sweden,Göteborg University
2000,Medicine,USA,Rockefeller University
2000,Medicine,Austria,Columbia University
2000,Peace,Korea (South Korea),
2000,Physics,Union of Soviet Socialist Republics (Belarus),A.F. Ioffe Physico-Technical Institute
2000,Physics,Germany,University of California
2000,Physics,USA,Texas Instruments
2001,Chemistry,USA,
2001,Chemistry,Japan,Nagoya University
2001,Chemistry,USA,The Scripps Research Institute
2001,Economics,USA,University of California
2001,Economics,USA,Stanford University
2001,Economics,USA,Columbia University
2001,Literature,Trinidad,
2001,Medicine,USA,Fred Hutchinson Cancer Research Center
2001,Medicine,UK,Imperial Cancer Research Fund
2001,Medicine,UK,Imperial Cancer Research Fund
2001,Peace,,
2001,Peace,Gold Coast (Ghana),
2001,Physics,USA,"University of Colorado, JILA"
2001,Physics,West Germany (Germany),Massachusetts Institute of Technology (MIT)
2001,Physics,USA,"University of Colorado, JILA"
2002,Chemistry,USA,Virginia Commonwealth University
2002,Chemistry,Japan,Shimadzu Corp.
2002,Chemistry,Switzerland,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)
2002,Chemistry,Switzerland,The Scripps Research Institute
2002,Economics,Israel,Princeton University
2002,Economics,USA,George Mason University
2002,Literature,Hungary,
2002,Medicine,South Africa,The Molecular Sciences Institute
2002,Medicine,USA,Massachusetts Institute of Technology (MIT)
2002,Medicine,UK,The Wellcome Trust Sanger Institute
2002,Peace,USA,
2002,Physics,USA,University of Pennsylvania
2002,Physics,Japan,University of Tokyo
2002,Physics,Italy,Associated Universities Inc.
2003,Chemistry,USA,Johns Hopkins University School of Medicine
2003,Chemistry,USA,Rockefeller University
2003,Chemistry,USA,Howard Hughes Medical Institute
2003,Economics,USA,New York University
2003,Economics,UK,University of California
2003,Literature,South Africa,
2003,Medicine,USA,University of Illinois
2003,Medicine,UK,"University of Nottingham, School of Physics and Astronomy"
2003,Peace,Iran,
2003,Physics,Union of Soviet Socialist Republics (Russia),Argonne National Laboratory
2003,Physics,Russia,P.N. Lebedev Physical Institute
